year,geography_name,state_fips,county_fips,state_name,county_name,median_household_income,per_capita_income,poverty_rate_pct,unemployment_rate_pct,bachelor's_degree,bachelor's_degree_or_higher,bachelor's_degree_or_higher_pct,median_home_value,median_gross_rent,total_population,median_age,county
2009,"Scott County, Iowa",19,163,Iowa,Scott County,50656.0,26977.0,11.97,,,,,129300.0,626.0,162994.0,36.9,Scott County (Davenport/Bettendorf)
2010,"Scott County, Iowa",19,163,Iowa,Scott County,49964.0,27408.0,12.92,,,,,134600.0,636.0,162184.0,37.4,Scott County (Davenport/Bettendorf)
2011,"Scott County, Iowa",19,163,Iowa,Scott County,51274.0,28010.0,12.81,5.62,,,,138900.0,649.0,163667.0,37.5,Scott County (Davenport/Bettendorf)
2012,"Scott County, Iowa",19,163,Iowa,Scott County,53002.0,28764.0,12.6,5.7,11868.0,45100.0,40.98,141400.0,669.0,165432.0,37.4,Scott County (Davenport/Bettendorf)
2013,"Scott County, Iowa",19,163,Iowa,Scott County,52735.0,28948.0,13.09,5.83,12079.0,46442.0,41.6,143600.0,685.0,167080.0,37.4,Scott County (Davenport/Bettendorf)
2014,"Scott County, Iowa",19,163,Iowa,Scott County,53704.0,29243.0,12.77,5.91,12571.0,47686.0,42.17,144900.0,703.0,168714.0,37.5,Scott County (Davenport/Bettendorf)
2015,"Scott County, Iowa",19,163,Iowa,Scott County,55114.0,29391.0,12.13,5.37,12490.0,48048.0,42.08,148200.0,715.0,169994.0,37.6,Scott County (Davenport/Bettendorf)
2016,"Scott County, Iowa",19,163,Iowa,Scott County,56454.0,30037.0,12.16,4.89,12782.0,48413.0,42.03,150900.0,729.0,171116.0,37.7,Scott County (Davenport/Bettendorf)
2017,"Scott County, Iowa",19,163,Iowa,Scott County,57681.0,30798.0,12.26,4.18,12070.0,47547.0,41.14,153200.0,748.0,171493.0,38.1,Scott County (Davenport/Bettendorf)
2018,"Scott County, Iowa",19,163,Iowa,Scott County,58803.0,31873.0,12.06,4.21,11998.0,47849.0,41.13,158200.0,779.0,172288.0,38.3,Scott County (Davenport/Bettendorf)
2019,"Scott County, Iowa",19,163,Iowa,Scott County,61183.0,33643.0,12.07,3.85,12214.0,47997.0,41.1,163200.0,793.0,172446.0,38.3,Scott County (Davenport/Bettendorf)
2020,"Scott County, Iowa",19,163,Iowa,Scott County,63876.0,34792.0,11.88,3.98,13359.0,50226.0,42.74,167900.0,812.0,172938.0,38.4,Scott County (Davenport/Bettendorf)
2021,"Scott County, Iowa",19,163,Iowa,Scott County,67675.0,38044.0,11.83,4.11,13273.0,51418.0,43.5,172100.0,852.0,174170.0,38.7,Scott County (Davenport/Bettendorf)
2009,,19,113,,Linn County,52642.0,28045.0,10.150562665877311,,,,,132600.0,611.0,204955.0,35.9,Linn County (Cedar Rapids)
2010,,19,113,,Linn County,53674.0,28239.0,9.639780774799975,,,,,136400.0,620.0,207765.0,36.5,Linn County (Cedar Rapids)
2011,,19,113,,Linn County,55666.0,29209.0,9.946055622213768,4.999402393839534,,,,139700.0,627.0,210011.0,36.6,Linn County (Cedar Rapids)
2012,,19,113,,Linn County,56790.0,29739.0,9.98603250704416,5.142401032556085,,,30.86038716345705,142300.0,658.0,211954.0,36.7,Linn County (Cedar Rapids)
