metric,year,forecast,lower_95ci,upper_95ci
median_household_income,2022,65599.88461538451,62677.97074873382,68521.7984820352
median_household_income,2023,66926.01098901127,64004.097122360574,69847.92485566196
median_household_income,2024,68252.13736263756,65330.223495986866,71174.05122928825
median_household_income,2025,69578.26373626385,66656.34986961316,72500.17760291454
median_household_income,2026,70904.39010989014,67982.47624323945,73826.30397654083
per_capita_income,2022,35981.961538461735,33731.85893274272,38232.06414418075
per_capita_income,2023,36749.406593406806,34499.30398768779,38999.50919912582
per_capita_income,2024,37516.851648351876,35266.74904263286,39766.95425407089
per_capita_income,2025,38284.296703296946,36034.19409757793,40534.399309015964
per_capita_income,2026,39051.741758241784,36801.63915252277,41301.8443639608
median_home_value,2022,172650.0,169098.540356988,176201.459643012
median_home_value,2023,175925.27472527418,172373.81508226218,179476.73436828618
median_home_value,2024,179200.5494505493,175649.0898075373,182752.0090935613
median_home_value,2025,182475.8241758244,178924.3645328124,186027.2838188364
median_home_value,2026,185751.0989010986,182199.6392580866,189302.5585441106
total_population,2022,176029.61538461526,174280.66349754212,177778.5672716884
total_population,2023,177061.14285714272,175312.19097006958,178810.09474421586
total_population,2024,178092.6703296702,176343.71844259705,179841.62221674333
total_population,2025,179124.19780219765,177375.2459151245,180873.1496892708
total_population,2026,180155.72527472512,178406.77338765198,181904.67716179826
